,Unnamed: 0,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Unnamed: 0,1.0,0.0321422190297614,-0.032742680536826926,-0.05473553679087818,0.0034437725468569884,-0.05599381464672197,-0.005519824851657635,-0.0273072622471227,0.005106720207422093,-0.08495223470462533,0.07683953668352515,-0.07028586063138291,0.03363880882297304,0.053110692150879685,-0.02582361540488143,-0.02111475581620748
popularity,0.0321422190297614,1.0,-0.007101208619705836,0.04408176014772509,0.035448134751392794,0.001056136299698345,-0.003853154715560662,0.05042303610050843,-0.013930786753103287,-0.04492654926158754,-0.02547241256836771,-0.09513920344468862,-0.005387153831594206,-0.040534294659953764,0.013204659932997277,0.03107275876008699
duration_ms,-0.032742680536826926,-0.007101208619705836,1.0,-0.06526293823241502,-0.07342624048871403,0.0585227780815608,0.008114135523599802,-0.0034701651716751835,-0.03555570192673891,-0.06259983350395106,-0.10378812960483126,0.12437050184420427,0.010321328690527768,-0.15447861180153633,0.024345605690600423,0.018224618860054775
explicit,-0.05473553679087818,0.04408176014772509,-0.06526293823241502,1.0,0.12250734547645256,0.0969550476463234,0.004483616911793473,0.1085877506690501,-0.03721228807137328,0.3079515633216593,-0.09440269868064616,-0.1034036387696881,0.03254916160276028,-0.0033805601072625217,-0.002816381625984105,0.03838610282314932
danceability,0.0034437725468569884,0.035448134751392794,-0.07342624048871403,0.12250734547645256,1.0,0.1343254834689691,0.036468769394681196,0.25907673317373486,-0.06921925528551803,0.108626089669779,-0.17153333095375395,-0.185606249730138,-0.131616856685729,0.47734123531289785,-0.050449871431218984,0.20721811494153064
energy,-0.05599381464672197,0.001056136299698345,0.0585227780815608,0.0969550476463234,0.1343254834689691,1.0,0.04800561641931401,0.7616899598908312,-0.07836183592110653,0.14250886780868724,-0.7339063209686965,-0.1818792111125021,0.18479552229595267,0.2589339951838074,0.24785050980261844,0.18712607527109276
key,-0.005519824851657635,-0.003853154715560662,0.008114135523599802,0.004483616911793473,0.036468769394681196,0.04800561641931401,1.0,0.03859006868148804,-0.1359158411081355,0.020417666762917706,-0.040937072191106795,-0.006822899708675378,-0.0016000351154873377,0.03410315409556528,0.010916619112810215,0.015064961073362939
loudness,-0.0273072622471227,0.05042303610050843,-0.0034701651716751835,0.1085877506690501,0.25907673317373486,0.7616899598908312,0.03859006868148804,1.0,-0.041764439702997924,0.06082632812504504,-0.5898026667486943,-0.43347686199195534,0.07689866201094137,0.2798478818998951,0.2124458965795161,0.19199186807627505
mode,0.005106720207422093,-0.013930786753103287,-0.03555570192673891,-0.03721228807137328,-0.06921925528551803,-0.07836183592110653,-0.1359158411081355,-0.041764439702997924,1.0,-0.0465317166843221,0.09555323646332498,-0.049954606753532506,0.014012191588582622,0.021952523802536157,0.0005655581057940549,-0.024092268920535932
speechiness,-0.08495223470462533,-0.04492654926158754,-0.06259983350395106,0.3079515633216593,0.108626089669779,0.14250886780868724,0.020417666762917706,0.06082632812504504,-0.0465317166843221,1.0,-0.002186335789402439,-0.08961576482388485,0.20521905734840665,0.03663458288189827,0.017273223330482493,-1.1121132843411253e-05
acousticness,0.07683953668352515,-0.02547241256836771,-0.10378812960483126,-0.09440269868064616,-0.17153333095375395,-0.7339063209686965,-0.040937072191106795,-0.5898026667486943,0.09555323646332498,-0.002186335789402439,1.0,0.1040271193629089,-0.020700360822696988,-0.10707017977230603,-0.2082241471963167,-0.1761382872459093
instrumentalness,-0.07028586063138291,-0.09513920344468862,0.12437050184420427,-0.1034036387696881,-0.185606249730138,-0.1818792111125021,-0.006822899708675378,-0.43347686199195534,-0.049954606753532506,-0.08961576482388485,0.1040271193629089,1.0,-0.07989258226235758,-0.32431232848861213,-0.050330401327880345,-0.0825803851103149
liveness,0.03363880882297304,-0.005387153831594206,0.010321328690527768,0.03254916160276028,-0.131616856685729,0.18479552229595267,-0.0016000351154873377,0.07689866201094137,0.014012191588582622,0.20521905734840665,-0.020700360822696988,-0.07989258226235758,1.0,0.01908625480710174,0.0005997673113033205,-0.02365055961845082
valence,0.053110692150879685,-0.040534294659953764,-0.15447861180153633,-0.0033805601072625217,0.47734123531289785,0.2589339951838074,0.03410315409556528,0.2798478818998951,0.021952523802536157,0.03663458288189827,-0.10707017977230603,-0.32431232848861213,0.01908625480710174,1.0,0.07827306763947245,0.1336859577724739
tempo,-0.02582361540488143,0.013204659932997277,0.024345605690600423,-0.002816381625984105,-0.050449871431218984,0.24785050980261844,0.010916619112810215,0.2124458965795161,0.0005655581057940549,0.017273223330482493,-0.2082241471963167,-0.050330401327880345,0.0005997673113033205,0.07827306763947245,1.0,0.06664108820631984
time_signature,-0.02111475581620748,0.03107275876008699,0.018224618860054775,0.03838610282314932,0.20721811494153064,0.18712607527109276,0.015064961073362939,0.19199186807627505,-0.024092268920535932,-1.1121132843411253e-05,-0.1761382872459093,-0.0825803851103149,-0.02365055961845082,0.1336859577724739,0.06664108820631984,1.0
